Gene stable ID,NCBI gene (formerly Entrezgene) ID
ENSMUSG00000101873,
ENSMUSG00000100260,
ENSMUSG00000100675,
ENSMUSG00000099807,
ENSMUSG00000101435,
ENSMUSG00000100544,
ENSMUSG00000100883,
ENSMUSG00000100902,100040712
ENSMUSG00000100892,108168548
ENSMUSG00000100673,
ENSMUSG00000101050,
ENSMUSG00000102025,
ENSMUSG00000099793,
ENSMUSG00000100699,
ENSMUSG00000099351,
ENSMUSG00000101771,
ENSMUSG00000100719,
ENSMUSG00000101740,
ENSMUSG00000100050,
ENSMUSG00000100588,
ENSMUSG00000102050,
ENSMUSG00000101238,
ENSMUSG00000100406,
ENSMUSG00000099526,
ENSMUSG00000101040,
ENSMUSG00000101272,
ENSMUSG00000101633,
ENSMUSG00000101283,
ENSMUSG00000100907,
ENSMUSG00000101960,
ENSMUSG00000101917,
ENSMUSG00000101205,
ENSMUSG00000100526,
ENSMUSG00000101785,
ENSMUSG00000100149,
ENSMUSG00000099953,
ENSMUSG00000102032,
ENSMUSG00000100823,
ENSMUSG00000099416,
ENSMUSG00000099606,
ENSMUSG00000100063,
ENSMUSG00000100722,
ENSMUSG00000096898,100041256
ENSMUSG00000096898,100861743
ENSMUSG00000096898,100862360
ENSMUSG00000096898,108168574
ENSMUSG00000096898,108168596
ENSMUSG00000100366,
ENSMUSG00000100888,
ENSMUSG00000100433,108168592
ENSMUSG00000102111,
ENSMUSG00000101060,
ENSMUSG00000099497,
ENSMUSG00000099479,
ENSMUSG00000101115,
ENSMUSG00000100849,
ENSMUSG00000099742,
ENSMUSG00000100999,
ENSMUSG00000101321,
ENSMUSG00000100328,
ENSMUSG00000094739,100039574
ENSMUSG00000094739,100040429
ENSMUSG00000094739,100041284
ENSMUSG00000094739,100042268
ENSMUSG00000094739,100042475
ENSMUSG00000094739,100861821
ENSMUSG00000094739,108168537
ENSMUSG00000094739,108168538
ENSMUSG00000094739,108168539
ENSMUSG00000094739,108168540
ENSMUSG00000094739,108168541
ENSMUSG00000094739,108168542
ENSMUSG00000094739,108168543
ENSMUSG00000094739,108168549
ENSMUSG00000094739,108168550
ENSMUSG00000094739,108168556
ENSMUSG00000094739,108168561
ENSMUSG00000094739,108168562
ENSMUSG00000094739,108168563
ENSMUSG00000094739,108168665
ENSMUSG00000102071,
ENSMUSG00000101804,
ENSMUSG00000099849,
ENSMUSG00000100822,
ENSMUSG00000101471,
ENSMUSG00000101455,
ENSMUSG00000099700,
ENSMUSG00000101811,
ENSMUSG00000101247,
ENSMUSG00000100610,
ENSMUSG00000099408,
ENSMUSG00000101197,
ENSMUSG00000101207,
ENSMUSG00000102016,
ENSMUSG00000100051,
ENSMUSG00000101733,
ENSMUSG00000099977,
ENSMUSG00000099415,
ENSMUSG00000100953,
ENSMUSG00000099734,
ENSMUSG00000100693,
ENSMUSG00000100723,
ENSMUSG00000101981,
ENSMUSG00000099805,
ENSMUSG00000101070,
ENSMUSG00000100286,
ENSMUSG00000102081,
ENSMUSG00000099679,
ENSMUSG00000102031,
ENSMUSG00000100408,
ENSMUSG00000102116,
ENSMUSG00000101637,
ENSMUSG00000101649,
ENSMUSG00000095353,
ENSMUSG00000100469,
ENSMUSG00000100821,
ENSMUSG00000101058,
ENSMUSG00000099790,
ENSMUSG00000100187,
ENSMUSG00000101962,
ENSMUSG00000100598,
ENSMUSG00000100011,
ENSMUSG00000100879,
ENSMUSG00000101675,
ENSMUSG00000099480,
ENSMUSG00000100499,
ENSMUSG00000100298,
ENSMUSG00000100256,
ENSMUSG00000101201,
ENSMUSG00000101003,108168560
ENSMUSG00000100628,
ENSMUSG00000100268,
ENSMUSG00000100003,
ENSMUSG00000101343,
ENSMUSG00000101907,
ENSMUSG00000099462,
ENSMUSG00000100035,
ENSMUSG00000101434,
ENSMUSG00000100061,
ENSMUSG00000100861,
ENSMUSG00000100317,
ENSMUSG00000101138,108168560
ENSMUSG00000101329,
